siteName,siteLatitude,siteLongitude,siteAltitude,siteID,depth,thickness,age,ageOld,ageYoung,ageType,chronologyID,taxonPercent,taxonSum,pollenSum,countedInLevel,totalInLevel,datasetID,datasetType,collectionUnitType,collectionUnitHandle,collectionUnitID
Balsam Meadow,37.195833,-119.260278,2015.0,226,244.0,,9780.0,,,Radiocarbon years BP,61,0.263157894737,1.0,380.0,22,26,228,pollen,Core,BALSAMMD,226
Exchequer Meadow,37.0,-119.833333,2219.0,794,312.0,1.0,10321.0,,,Radiocarbon years BP,379,2.40700218818,11.0,457.0,23,28,816,pollen,Core,EXCHEQUE,793
Exchequer Meadow,37.0,-119.833333,2219.0,794,333.0,1.0,11016.0,,,Radiocarbon years BP,379,1.34099616858,7.0,522.0,23,30,816,pollen,Core,EXCHEQUE,793
Exchequer Meadow,37.0,-119.833333,2219.0,794,340.0,1.0,11248.0,,,Radiocarbon years BP,379,0.460829493088,2.0,434.0,18,27,816,pollen,Core,EXCHEQUE,793
Goff Lake,44.4525,-109.838611,1996.0,936,110.0,,142.0,,,Radiocarbon years BP,441,0.45045045045,1.0,222.0,22,24,965,pollen,Core,GOFF,935
Swamp Lake,37.95,-119.816667,1554.0,2529,9.6,1.0,161.0,,,Radiocarbon years BP,1225,0.24154589372,1.0,414.0,13,17,2619,pollen,Core,SWAMPLK,2528
Swamp Lake,37.95,-119.816667,1554.0,2529,200.0,1.0,3218.0,,,Radiocarbon years BP,1225,0.284090909091,1.0,352.0,13,15,2619,pollen,Core,SWAMPLK,2528
Swamp Lake,37.95,-119.816667,1554.0,2529,611.0,1.0,10605.0,,,Radiocarbon years BP,1225,0.220750551876,1.0,453.0,18,24,2619,pollen,Core,SWAMPLK,2528
Browns Island,38.04217,-121.86795,0.0,9795,10.0,1.0,27.0,128.0,-34.0,Calibrated radiocarbon years BP,7671,0.8,1.0,125.0,13,20,14491,pollen,Core,BROWNS,11057
Browns Island,38.04217,-121.86795,0.0,9795,35.0,1.0,220.0,347.0,99.0,Calibrated radiocarbon years BP,7671,0.442477876106,1.0,226.0,12,18,14491,pollen,Core,BROWNS,11057
Roe Island,38.0723,-122.032935,0.0,9796,5.0,1.0,-25.0,10.0,-46.0,Calibrated radiocarbon years BP,7673,1.0752688172,2.0,186.0,11,17,14494,pollen,Core,ROEISLND,11058
Roe Island,38.0723,-122.032935,0.0,9796,310.0,1.0,1972.0,2147.0,1810.0,Calibrated radiocarbon years BP,7673,0.540540540541,1.0,185.0,12,18,14494,pollen,Core,ROEISLND,11058
Bluff Lake,41.346515,-122.55987,1926.0,10309,277.0,1.0,10996.0,11469.0,10538.0,Calibrated radiocarbon years BP,8303,0.447627573859,5.0,1117.0,23,29,15646,pollen,Core,BLUFFCA,11663
Lilypad Lake,36.98229,-118.99407,1982.0,10363,195.0,,4168.0,5451.0,3019.0,Calibrated radiocarbon years BP,8370,0.355871886121,1.0,281.0,19,24,15766,pollen,Core,LILYPDCA,11727
Lilypad Lake,36.98229,-118.99407,1982.0,10363,230.0,,5115.0,6534.0,3815.0,Calibrated radiocarbon years BP,8370,0.531914893617,1.0,188.0,18,23,15766,pollen,Core,LILYPDCA,11727
Lilypad Lake,36.98229,-118.99407,1982.0,10363,310.0,,7293.0,8748.0,5855.0,Calibrated radiocarbon years BP,8370,0.404858299595,1.0,247.0,18,24,15766,pollen,Core,LILYPDCA,11727
Lilypad Lake,36.98229,-118.99407,1982.0,10363,415.0,,10144.0,11432.0,8936.0,Calibrated radiocarbon years BP,8370,1.08303249097,3.0,277.0,26,30,15766,pollen,Core,LILYPDCA,11727
Lilypad Lake,36.98229,-118.99407,1982.0,10363,470.0,,11778.0,12967.0,10977.0,Calibrated radiocarbon years BP,8370,1.108033241,4.0,361.0,21,27,15766,pollen,Core,LILYPDCA,11727
Lilypad Lake,36.98229,-118.99407,1982.0,10363,519.0,,14794.0,16085.0,12809.0,Calibrated radiocarbon years BP,8370,0.348432055749,1.0,287.0,17,25,15766,pollen,Core,LILYPDCA,11727
Mono Lake,38.00795,-119.0255,1945.0,10369,480.0,,8540.0,8954.0,8107.0,Calibrated radiocarbon years BP,8376,0.3300330033,1.0,303.0,15,20,15778,pollen,Core,MONOLK,11733
Mono Lake,38.00795,-119.0255,1945.0,10369,600.0,,10101.0,10470.0,9707.0,Calibrated radiocarbon years BP,8376,1.3468013468,4.0,297.0,13,17,15778,pollen,Core,MONOLK,11733
Mono Lake,38.00795,-119.0255,1945.0,10369,620.0,,10386.0,10758.0,10020.0,Calibrated radiocarbon years BP,8376,0.327868852459,1.0,305.0,16,21,15778,pollen,Core,MONOLK,11733
Mono Lake,38.00795,-119.0255,1945.0,10369,654.0,,10892.0,11200.0,10524.0,Calibrated radiocarbon years BP,8376,2.08333333333,7.0,336.0,18,23,15778,pollen,Core,MONOLK,11733
Mono Lake,38.00795,-119.0255,1945.0,10369,672.0,,11287.0,11756.0,10848.0,Calibrated radiocarbon years BP,8376,0.626959247649,2.0,319.0,20,27,15778,pollen,Core,MONOLK,11733
Mono Lake,38.00795,-119.0255,1945.0,10369,680.0,,11516.0,12114.0,10983.0,Calibrated radiocarbon years BP,8376,0.66889632107,2.0,299.0,12,15,15778,pollen,Core,MONOLK,11733
Mono Lake,38.00795,-119.0255,1945.0,10369,689.0,,11773.0,12361.0,11199.0,Calibrated radiocarbon years BP,8376,3.64238410596,11.0,302.0,14,21,15778,pollen,Core,MONOLK,11733
Mono Lake,38.00795,-119.0255,1945.0,10369,710.0,,12365.0,12808.0,11721.0,Calibrated radiocarbon years BP,8376,2.8818443804,10.0,347.0,17,24,15778,pollen,Core,MONOLK,11733
Mono Lake,38.00795,-119.0255,1945.0,10369,720.0,,12365.0,12808.0,11721.0,Calibrated radiocarbon years BP,8376,4.2904290429,13.0,303.0,15,20,15778,pollen,Core,MONOLK,11733
Mono Lake,38.00795,-119.0255,1945.0,10369,730.0,,12649.0,12997.0,12050.0,Calibrated radiocarbon years BP,8376,5.5737704918,17.0,305.0,17,24,15778,pollen,Core,MONOLK,11733
Mono Lake,38.00795,-119.0255,1945.0,10369,740.0,,12923.0,13577.0,12163.0,Calibrated radiocarbon years BP,8376,17.0,51.0,300.0,17,24,15778,pollen,Core,MONOLK,11733
Mono Lake,38.00795,-119.0255,1945.0,10369,745.0,,13058.0,13949.0,12199.0,Calibrated radiocarbon years BP,8376,20.0657894737,61.0,304.0,18,24,15778,pollen,Core,MONOLK,11733
Mono Lake,38.00795,-119.0255,1945.0,10369,752.0,,13247.0,14469.0,12247.0,Calibrated radiocarbon years BP,8376,0.980392156863,1.0,102.0,12,16,15778,pollen,Core,MONOLK,11733
Tulare Lake,36.052,-119.78,55.0,10410,300.0,,9300.0,10122.0,8464.0,Calibrated radiocarbon years BP,8429,0.593471810089,2.0,337.0,25,33,15876,pollen,Core,TULARECA,11785
Tulare Lake,36.052,-119.78,55.0,10410,310.0,,9526.0,10259.0,8780.0,Calibrated radiocarbon years BP,8429,0.890207715134,3.0,337.0,21,28,15876,pollen,Core,TULARECA,11785
Tulare Lake,36.052,-119.78,55.0,10410,320.0,,9751.0,10482.0,8958.0,Calibrated radiocarbon years BP,8429,2.30547550432,8.0,347.0,23,29,15876,pollen,Core,TULARECA,11785
Tulare Lake,36.052,-119.78,55.0,10410,340.0,,10179.0,10754.0,9583.0,Calibrated radiocarbon years BP,8429,1.81818181818,6.0,330.0,23,29,15876,pollen,Core,TULARECA,11785
Tulare Lake,36.052,-119.78,55.0,10410,360.0,,10530.0,11356.0,9824.0,Calibrated radiocarbon years BP,8429,3.30788804071,13.0,393.0,23,32,15876,pollen,Core,TULARECA,11785
Tulare Lake,36.052,-119.78,55.0,10410,380.0,,10880.0,11893.0,10048.0,Calibrated radiocarbon years BP,8429,4.78873239437,17.0,355.0,23,29,15876,pollen,Core,TULARECA,11785
Tulare Lake,36.052,-119.78,55.0,10410,400.0,,11228.0,12311.0,10297.0,Calibrated radiocarbon years BP,8429,3.0985915493,11.0,355.0,22,31,15876,pollen,Core,TULARECA,11785
Tulare Lake,36.052,-119.78,55.0,10410,420.0,,11562.0,12684.0,10573.0,Calibrated radiocarbon years BP,8429,4.1095890411,15.0,365.0,26,34,15876,pollen,Core,TULARECA,11785
Tulare Lake,36.052,-119.78,55.0,10410,440.0,,12031.0,13295.0,10922.0,Calibrated radiocarbon years BP,8429,3.23450134771,12.0,371.0,24,35,15876,pollen,Core,TULARECA,11785
Tulare Lake,36.052,-119.78,55.0,10410,460.0,,13124.0,15275.0,11460.0,Calibrated radiocarbon years BP,8429,1.64835164835,6.0,364.0,25,34,15876,pollen,Core,TULARECA,11785
Tulare Lake,36.052,-119.78,55.0,10410,480.0,,14165.0,16632.0,12042.0,Calibrated radiocarbon years BP,8429,3.39425587467,13.0,383.0,22,31,15876,pollen,Core,TULARECA,11785
Tulare Lake,36.052,-119.78,55.0,10410,500.0,,15228.0,17860.0,12817.0,Calibrated radiocarbon years BP,8429,6.92771084337,23.0,332.0,23,31,15876,pollen,Core,TULARECA,11785
Tulare Lake,36.052,-119.78,55.0,10410,520.0,,16300.0,19001.0,13695.0,Calibrated radiocarbon years BP,8429,8.93854748603,32.0,358.0,26,35,15876,pollen,Core,TULARECA,11785
Tulare Lake,36.052,-119.78,55.0,10410,540.0,,17303.0,19985.0,14535.0,Calibrated radiocarbon years BP,8429,7.91788856305,27.0,341.0,23,33,15876,pollen,Core,TULARECA,11785
Tulare Lake,36.052,-119.78,55.0,10410,550.0,,17873.0,20327.0,15305.0,Calibrated radiocarbon years BP,8429,2.24719101124,8.0,356.0,20,29,15876,pollen,Core,TULARECA,11785
Tulare Lake,36.052,-119.78,55.0,10410,560.0,,18440.0,20958.0,15698.0,Calibrated radiocarbon years BP,8429,1.33333333333,5.0,375.0,22,28,15876,pollen,Core,TULARECA,11785
Tulare Lake,36.052,-119.78,55.0,10410,570.0,,19038.0,21201.0,16503.0,Calibrated radiocarbon years BP,8429,2.29885057471,12.0,522.0,20,29,15876,pollen,Core,TULARECA,11785
Tulare Lake,36.052,-119.78,55.0,10410,580.0,,19638.0,21681.0,17048.0,Calibrated radiocarbon years BP,8429,5.25,21.0,400.0,24,34,15876,pollen,Core,TULARECA,11785
Tulare Lake,36.052,-119.78,55.0,10410,590.0,,20229.0,21906.0,17899.0,Calibrated radiocarbon years BP,8429,3.08483290488,12.0,389.0,20,29,15876,pollen,Core,TULARECA,11785
Tulare Lake,36.052,-119.78,55.0,10410,600.0,,20826.0,22336.0,18374.0,Calibrated radiocarbon years BP,8429,3.58744394619,16.0,446.0,23,30,15876,pollen,Core,TULARECA,11785
Tulare Lake,36.052,-119.78,55.0,10410,601.0,,20883.0,22350.0,18547.0,Calibrated radiocarbon years BP,8429,1.42180094787,6.0,422.0,20,29,15876,pollen,Core,TULARECA,11785
Tulare Lake,36.052,-119.78,55.0,10410,604.0,,21055.0,22390.0,19030.0,Calibrated radiocarbon years BP,8429,1.35501355014,5.0,369.0,21,32,15876,pollen,Core,TULARECA,11785
Tulare Lake,36.052,-119.78,55.0,10410,606.0,,21171.0,22414.0,19349.0,Calibrated radiocarbon years BP,8429,2.77078085642,11.0,397.0,18,25,15876,pollen,Core,TULARECA,11785
Tulare Lake,36.052,-119.78,55.0,10410,609.0,,21344.0,22454.0,19807.0,Calibrated radiocarbon years BP,8429,1.2987012987,5.0,385.0,21,30,15876,pollen,Core,TULARECA,11785
Tulare Lake,36.052,-119.78,55.0,10410,614.0,,21637.0,22560.0,20448.0,Calibrated radiocarbon years BP,8429,1.05540897098,4.0,379.0,17,26,15876,pollen,Core,TULARECA,11785
Tulare Lake,36.052,-119.78,55.0,10410,617.0,,21816.0,22669.0,20677.0,Calibrated radiocarbon years BP,8429,1.86046511628,8.0,430.0,25,34,15876,pollen,Core,TULARECA,11785
Tulare Lake,36.052,-119.78,55.0,10410,620.0,,21995.0,22824.0,20841.0,Calibrated radiocarbon years BP,8429,3.89294403893,16.0,411.0,25,35,15876,pollen,Core,TULARECA,11785
Tulare Lake,36.052,-119.78,55.0,10410,625.0,,22277.0,22990.0,21313.0,Calibrated radiocarbon years BP,8429,3.73134328358,15.0,402.0,20,28,15876,pollen,Core,TULARECA,11785
Tulare Lake,36.052,-119.78,55.0,10410,630.0,,22562.0,23280.0,21655.0,Calibrated radiocarbon years BP,8429,3.02197802198,11.0,364.0,23,33,15876,pollen,Core,TULARECA,11785
Tulare Lake,36.052,-119.78,55.0,10410,635.0,,22848.0,23760.0,21880.0,Calibrated radiocarbon years BP,8429,7.58426966292,27.0,356.0,17,24,15876,pollen,Core,TULARECA,11785
Tulare Lake,36.052,-119.78,55.0,10410,640.0,,23130.0,24368.0,22003.0,Calibrated radiocarbon years BP,8429,3.66492146597,14.0,382.0,20,31,15876,pollen,Core,TULARECA,11785
Tulare Lake,36.052,-119.78,55.0,10410,645.0,,23359.0,24459.0,22345.0,Calibrated radiocarbon years BP,8429,5.03978779841,19.0,377.0,23,32,15876,pollen,Core,TULARECA,11785
Tulare Lake,36.052,-119.78,55.0,10410,650.0,,23590.0,24598.0,22602.0,Calibrated radiocarbon years BP,8429,2.22841225627,8.0,359.0,19,29,15876,pollen,Core,TULARECA,11785
Tulare Lake,36.052,-119.78,55.0,10410,660.0,,24051.0,25137.0,22897.0,Calibrated radiocarbon years BP,8429,1.93905817175,7.0,361.0,21,31,15876,pollen,Core,TULARECA,11785
Tulare Lake,36.052,-119.78,55.0,10410,670.0,,24534.0,25418.0,23607.0,Calibrated radiocarbon years BP,8429,3.26633165829,13.0,398.0,20,31,15876,pollen,Core,TULARECA,11785
Tulare Lake,36.052,-119.78,55.0,10410,680.0,,25019.0,26224.0,23862.0,Calibrated radiocarbon years BP,8429,2.33766233766,9.0,385.0,26,36,15876,pollen,Core,TULARECA,11785
Tulare Lake,36.052,-119.78,55.0,10410,690.0,,25457.0,26586.0,24269.0,Calibrated radiocarbon years BP,8429,2.08877284595,8.0,383.0,28,37,15876,pollen,Core,TULARECA,11785
Tulare Lake,36.052,-119.78,55.0,10410,700.0,,25891.0,27257.0,24451.0,Calibrated radiocarbon years BP,8429,1.67064439141,7.0,419.0,26,33,15876,pollen,Core,TULARECA,11785
Tulare Lake,36.052,-119.78,55.0,10410,710.0,,26333.0,27486.0,24978.0,Calibrated radiocarbon years BP,8429,0.305810397554,1.0,327.0,18,24,15876,pollen,Core,TULARECA,11785
Tulare Lake,36.052,-119.78,55.0,10410,720.0,,26774.0,27918.0,25285.0,Calibrated radiocarbon years BP,8429,4.8128342246,18.0,374.0,23,34,15876,pollen,Core,TULARECA,11785
Tulare Lake,36.052,-119.78,55.0,10410,730.0,,27220.0,28039.0,26141.0,Calibrated radiocarbon years BP,8429,1.69491525424,6.0,354.0,19,25,15876,pollen,Core,TULARECA,11785
Tulare Lake,36.052,-119.78,55.0,10410,740.0,,27671.0,28342.0,26579.0,Calibrated radiocarbon years BP,8429,2.0942408377,8.0,382.0,24,34,15876,pollen,Core,TULARECA,11785
Tulare Lake,36.052,-119.78,55.0,10410,750.0,,27893.0,28449.0,27082.0,Calibrated radiocarbon years BP,8429,1.12676056338,4.0,355.0,24,33,15876,pollen,Core,TULARECA,11785
Tulare Lake,36.052,-119.78,55.0,10410,760.0,,28120.0,28677.0,27398.0,Calibrated radiocarbon years BP,8429,3.06603773585,13.0,424.0,24,35,15876,pollen,Core,TULARECA,11785
Tulare Lake,36.052,-119.78,55.0,10410,770.0,,28310.0,28770.0,27820.0,Calibrated radiocarbon years BP,8429,2.93453724605,13.0,443.0,25,34,15876,pollen,Core,TULARECA,11785
Tulare Lake,36.052,-119.78,55.0,10410,780.0,,28505.0,28980.0,28008.0,Calibrated radiocarbon years BP,8429,0.295275590551,3.0,1016.0,31,40,15876,pollen,Core,TULARECA,11785
Tulare Lake,36.052,-119.78,55.0,10410,790.0,,28674.0,29073.0,28236.0,Calibrated radiocarbon years BP,8429,0.416666666667,2.0,480.0,22,28,15876,pollen,Core,TULARECA,11785
Tulare Lake,36.052,-119.78,55.0,10410,800.0,,28841.0,29265.0,28356.0,Calibrated radiocarbon years BP,8429,1.08225108225,5.0,462.0,24,33,15876,pollen,Core,TULARECA,11785
Tulare Lake,36.052,-119.78,55.0,10410,820.0,,29173.0,29528.0,28816.0,Calibrated radiocarbon years BP,8429,1.86721991701,9.0,482.0,27,39,15876,pollen,Core,TULARECA,11785
Tulare Lake,36.052,-119.78,55.0,10410,830.0,,29292.0,29667.0,28937.0,Calibrated radiocarbon years BP,8429,2.54452926209,10.0,393.0,23,29,15876,pollen,Core,TULARECA,11785
Tulare Lake,36.052,-119.78,55.0,10410,840.0,,29408.0,29892.0,28996.0,Calibrated radiocarbon years BP,8429,1.44927536232,8.0,552.0,31,39,15876,pollen,Core,TULARECA,11785
Tulare Lake,36.052,-119.78,55.0,10410,853.0,,29562.0,30029.0,29130.0,Calibrated radiocarbon years BP,8429,1.23076923077,4.0,325.0,21,29,15876,pollen,Core,TULARECA,11785
Lower Lake,38.590035,-123.30498,228.0,10469,0.0,2.5,-29.0,,,Calendar years BP,8517,25.6965944272,83.0,323.0,28,31,16046,pollen,Core,LOWERPLT,11864
Lower Lake,38.590035,-123.30498,228.0,10469,5.0,2.5,80.0,,,Calendar years BP,8517,23.8693467337,95.0,398.0,27,30,16046,pollen,Core,LOWERPLT,11864
Lower Lake,38.590035,-123.30498,228.0,10469,10.0,2.5,103.0,,,Calendar years BP,8517,14.2857142857,59.0,413.0,27,30,16046,pollen,Core,LOWERPLT,11864
Lower Lake,38.590035,-123.30498,228.0,10469,12.0,2.5,113.0,,,Calendar years BP,8517,23.9603960396,121.0,505.0,28,31,16046,pollen,Core,LOWERPLT,11864
Lower Lake,38.590035,-123.30498,228.0,10469,15.0,2.5,127.0,,,Calendar years BP,8517,31.2638580931,141.0,451.0,27,30,16046,pollen,Core,LOWERPLT,11864
Lower Lake,38.590035,-123.30498,228.0,10469,17.5,2.5,138.0,,,Calendar years BP,8517,45.7765667575,168.0,367.0,24,27,16046,pollen,Core,LOWERPLT,11864
Lower Lake,38.590035,-123.30498,228.0,10469,20.0,2.5,150.0,,,Calendar years BP,8517,54.1666666667,169.0,312.0,22,25,16046,pollen,Core,LOWERPLT,11864
Lower Lake,38.590035,-123.30498,228.0,10469,22.5,2.5,162.0,,,Calendar years BP,8517,48.0392156863,147.0,306.0,20,22,16046,pollen,Core,LOWERPLT,11864
Lower Lake,38.590035,-123.30498,228.0,10469,25.0,2.5,173.0,,,Calendar years BP,8517,56.0693641618,194.0,346.0,23,26,16046,pollen,Core,LOWERPLT,11864
Lower Lake,38.590035,-123.30498,228.0,10469,27.5,2.5,185.0,,,Calendar years BP,8517,49.1525423729,145.0,295.0,16,18,16046,pollen,Core,LOWERPLT,11864
Lower Lake,38.590035,-123.30498,228.0,10469,30.0,2.5,197.0,,,Calendar years BP,8517,45.0142450142,158.0,351.0,21,24,16046,pollen,Core,LOWERPLT,11864
Lower Lake,38.590035,-123.30498,228.0,10469,32.0,2.5,206.0,,,Calendar years BP,8517,47.2440944882,180.0,381.0,22,25,16046,pollen,Core,LOWERPLT,11864
Lower Lake,38.590035,-123.30498,228.0,10469,35.0,2.5,220.0,,,Calendar years BP,8517,43.6482084691,134.0,307.0,18,21,16046,pollen,Core,LOWERPLT,11864
Lower Lake,38.590035,-123.30498,228.0,10469,37.5,2.5,232.0,,,Calendar years BP,8517,46.8513853904,186.0,397.0,21,23,16046,pollen,Core,LOWERPLT,11864
Lower Lake,38.590035,-123.30498,228.0,10469,40.0,2.5,243.0,,,Calendar years BP,8517,41.6666666667,170.0,408.0,18,21,16046,pollen,Core,LOWERPLT,11864
Lower Lake,38.590035,-123.30498,228.0,10469,42.0,2.5,253.0,,,Calendar years BP,8517,48.3240223464,173.0,358.0,19,21,16046,pollen,Core,LOWERPLT,11864
Lower Lake,38.590035,-123.30498,228.0,10469,44.0,2.5,262.0,,,Calendar years BP,8517,44.7204968944,144.0,322.0,21,23,16046,pollen,Core,LOWERPLT,11864
Lower Lake,38.590035,-123.30498,228.0,10469,47.0,2.5,276.0,,,Calendar years BP,8517,43.6201780415,147.0,337.0,16,18,16046,pollen,Core,LOWERPLT,11864
Lower Lake,38.590035,-123.30498,228.0,10469,52.0,2.5,299.0,,,Calendar years BP,8517,32.967032967,120.0,364.0,19,21,16046,pollen,Core,LOWERPLT,11864
Elkhorn Slough,36.82535,-121.76415,0.0,10477,3.0,2.5,-23.0,-7.0,-36.0,Calibrated radiocarbon years BP,8527,3.98773006135,13.0,326.0,26,28,16063,pollen,Core,ELKHORN,11872
Elkhorn Slough,36.82535,-121.76415,0.0,10477,27.0,2.5,80.0,96.0,66.0,Calibrated radiocarbon years BP,8527,1.53452685422,6.0,391.0,23,25,16063,pollen,Core,ELKHORN,11872
Elkhorn Slough,36.82535,-121.76415,0.0,10477,52.0,2.5,377.0,732.0,157.0,Calibrated radiocarbon years BP,8527,1.44230769231,6.0,416.0,20,22,16063,pollen,Core,ELKHORN,11872
Elkhorn Slough,36.82535,-121.76415,0.0,10477,106.0,2.5,1090.0,1623.0,630.0,Calibrated radiocarbon years BP,8527,4.90797546012,16.0,326.0,22,25,16063,pollen,Core,ELKHORN,11872
Elkhorn Slough,36.82535,-121.76415,0.0,10477,156.0,2.5,1744.0,2309.0,1198.0,Calibrated radiocarbon years BP,8527,3.64683301344,19.0,521.0,21,23,16063,pollen,Core,ELKHORN,11872
Elkhorn Slough,36.82535,-121.76415,0.0,10477,179.0,2.5,2046.0,2622.0,1466.0,Calibrated radiocarbon years BP,8527,4.7311827957,22.0,465.0,22,24,16063,pollen,Core,ELKHORN,11872
Elkhorn Slough,36.82535,-121.76415,0.0,10477,206.0,2.5,2400.0,2945.0,1838.0,Calibrated radiocarbon years BP,8527,3.01810865191,15.0,497.0,21,24,16063,pollen,Core,ELKHORN,11872
Elkhorn Slough,36.82535,-121.76415,0.0,10477,256.0,2.5,3054.0,3495.0,2536.0,Calibrated radiocarbon years BP,8527,2.15384615385,7.0,325.0,18,20,16063,pollen,Core,ELKHORN,11872
Elkhorn Slough,36.82535,-121.76415,0.0,10477,280.0,2.5,3368.0,3752.0,2898.0,Calibrated radiocarbon years BP,8527,3.76237623762,19.0,505.0,24,26,16063,pollen,Core,ELKHORN,11872
Elkhorn Slough,36.82535,-121.76415,0.0,10477,304.0,2.5,3675.0,3961.0,3339.0,Calibrated radiocarbon years BP,8527,5.49738219895,21.0,382.0,19,22,16063,pollen,Core,ELKHORN,11872
Elkhorn Slough,36.82535,-121.76415,0.0,10477,333.0,2.5,4006.0,4373.0,3688.0,Calibrated radiocarbon years BP,8527,4.0899795501,20.0,489.0,23,25,16063,pollen,Core,ELKHORN,11872
Elkhorn Slough,36.82535,-121.76415,0.0,10477,356.0,2.5,4205.0,4647.0,3842.0,Calibrated radiocarbon years BP,8527,8.13008130081,20.0,246.0,20,23,16063,pollen,Core,ELKHORN,11872
Elkhorn Slough,36.82535,-121.76415,0.0,10477,406.0,2.5,4548.0,5002.0,4152.0,Calibrated radiocarbon years BP,8527,8.11594202899,28.0,345.0,20,22,16063,pollen,Core,ELKHORN,11872
Elkhorn Slough,36.82535,-121.76415,0.0,10477,453.0,2.5,4870.0,5326.0,4458.0,Calibrated radiocarbon years BP,8527,5.48387096774,17.0,310.0,22,24,16063,pollen,Core,ELKHORN,11872
